ID,Chat,ChoiceA,ChoiceB,ChoiceAResult,ChoiceBResult,EndRoundSummary,ChoiceCorrect,33%,66%,90%,ThreatMoney,SystemInitial,SystemCorrect
1,I received an email message that looked very similar to GmailCOMMA urging me to update my security credentials. Once I clicked on the linkCOMMA I was prompted to input my username and passwordCOMMA but the format of the website looked different from the normal Gmail interface.,Phishing,DDOS,That's what I was thinking too!,I'm not sure DDOS is the correct term,E ,A,5,3,1,20,asd,asdf
2,I received a text message from my co-workerCOMMA who is not in work todayCOMMA asking for my VPN login so he can complete his tasks remotely. This is oddCOMMA since he could easily reset his own passwordCOMMA and does not need my login credentials.,Vishing,Mishing,Vishing is a phising attack by phone; That does not seem applicable to this situation.,That sounds correct.,E,B,5,3,1,25,asd,asdf
3,A company claiming to be software support called my work phoneCOMMA asking for my personal information in order to conduct a repair that I never issued. If I did issue the repairCOMMA I would have already relayed my information initially and would not need to reiterate it.,Vishing,Eavesdropping,That is correct. You should not provide your credentials to anyone.,,E,A,5,3,1,30,asd,asdf
4,When grabbing coffee during my lunch breakCOMMA I connected my work laptop to Starbucks wifiCOMMA visiting a multitude of different websites. A few days laterCOMMA I realized some of my accounts were compromised. I suspect the Wi-Fi connection was spoofed or I visited an unsecured site and some of my passwords were collected.,Man-in-the-middle attack,social engineering,That is what I was thinking too. Many public WiFi connections can be unsecure and have bad actors circumventing mutual authentication.,No. This is not a social engineering attack,E,A,6,9,2,40,asd,asdf
5,After finding a company branded USB device near my workspaceCOMMA I suspected it was one of my co-workers and plugged it into my laptop to attempt to ascertain their identity. My computer became unresponsive after inserting the USB.,Man-in-the-middle attack,social engineering,I don't think this is that type of attack,That is the same type of attack I was suspecting also. Unknown devices should not be connect to computers if you are unsure of their origin,E,B,9,4,3,20,asd,asdf
6,Last week an individual impersonating a delivery driverCOMMA equipped with a clipboard and a USPS uniformCOMMA bypassed security and was able to enter our building undetected. An employee has reported a missing laptop and we suspect this impersonator is the cause.,Phishing,Social engineering,No. Phishing is when an attacker sends a fraudulent message,That is correct. Impersonating is one form of a social engineering attack,E,B,4,9,3,20,asd,asdf
7,When I turned my computer onCOMMA I initially noticed its poor performance as well as another co-worker with the same issue. It has been identified that our computer’s resources are being used to mine cryptocurrency in a covert manner.,Malware infection,Phishing,YesCOMMA I belive that a bad actor could have scraped an employee's credentials and installed some software that is causing the slowdown.,That is incorrect. Phishing is when an attacker sends a fraudulent message,E,A,10,5,4,25,asd,asdf
8,Upon opening my laptopCOMMA I realized that all my files are inaccessible and contain different extensions that I do not recognize. There is a text file on my desktop that reads “ You have been ransomed. Once you pay us we give you the decryption key so you can access your files. Pay to our bitcoin wallet.”,Malware infection,DDOS,YesCOMMA this seems to be a ransomware attack,No. A DDOS attack is where a bad actor disrupts services of a host connected to the Internet,E,A,5,2,4,30,asd,asdf
9,Our website was overwhelmed with traffic until it crashedCOMMA making it inaccessible. It was estimated that we had an indirect loss due to sales that could not be processed with the site being down.,Mishing,DDOS,I think you are incorrect. A mishing attack is a type of phishing by text messages.,Yes that seems to be what I was thinking too. A bad actor seems to have disrupted the services of a host connected to the Internet,E,B,4,7,8,40,asd,asdf
10,Employees have been noticing that their passwordsCOMMA personal identifiable informationCOMMA and credit card numbers have been compromised. It has been identified that a hacker is listening in on data that is being transmitted throughout the network.,social engineering,Passive eavesdropping,That is not our issue here. Social engineering is when people are manipulated,That is what this issue is called. That is correct,E,B,4,10,2,20,asd,asdf
11,The company website’s bandwidth and processing capabilities are being overwhelmed with traffic incoming from all different parts of the worldCOMMA making it difficult to pinpoint the exact origin of this attack. I suspect botnets are being utilizedCOMMA which are being manipulated by some bad actor.,DDOS,Phising,Yes that seems to be what I was thinking too. A bad actor seems to be utilizing botnets to carry out his DDOS attack,That is not related to this incident. Phising is a social engineering attack where a bad attacker sends a fraudulent message,E,A,4,7,8,20,asd,asdf
12,Our customers have reported that when visiting our websiteCOMMA they were redirected to a similar looking page asking for their personal credentials. We suspect that a malicious script was implanted into one of our subpages.,DDOS,Drive-by download,No. A DDOS attack is where a bad actor disrupts services of a host connected to the Internet,I suspect that is correct. Code seems to have been unintewntionally downloaded. This cann happen without clickingCOMMA pressing downloadCOMMA or even opening a malicious email attachment.,E,B,4,10COMMA3COMMA1,6,25,asd,asdf
13,Upon logging into my email accountCOMMA I realized my password was compromised; Numerous emails have been sent out to my colleagues asking for their login information and other compromising details. I am unaware of how my password was stolen.,Man-in-the-middle attack,Dictionary attack,I don't think a man-in-the-middle-attack occurred. Mutual authentication was not circumvented in this case.,Since you password is very simpleCOMMA a bad actor was able to run a program with common passwords and brute-forced his way to figure it out.,E,B,5,7,9,30,asd,asdf
